Item,key,Domain
1,C,Algebra
2,E,Algebra
3,D,Algebra
4,B,Algebra
5,E,Algebra
6,D,Algebra
7,E,Algebra
8,D,Algebra
9,A,Algebra
10,E,Algebra
11,C,Algebra
12,B,Algebra
13,B,Algebra
14,C,Algebra
15,D,Algebra
16,B,Algebra
17,C,Algebra
18,D,Algebra
19,C,Algebra
20,D,Algebra
21,A,Algebra
22,A,Algebra
23,D,Algebra
24,C,DataAnalysis
25,E,DataAnalysis
26,B,DataAnalysis
27,A,DataAnalysis
28,D,DataAnalysis
29,E,DataAnalysis
30,C,DataAnalysis
31,D,DataAnalysis
32,C,DataAnalysis
33,E,DataAnalysis
34,E,DataAnalysis
35,A,DataAnalysis
36,D,DataAnalysis
37,C,DataAnalysis
38,C,DataAnalysis
39,E,DataAnalysis
40,B,DataAnalysis
41,D,DataAnalysis
42,B,DataAnalysis
43,A,DataAnalysis
44,A,DataAnalysis
45,C,DataAnalysis
46,D,DataAnalysis
47,C,DataAnalysis
48,A,DataAnalysis
49,D,DataAnalysis
50,E,DataAnalysis
51,C,DataAnalysis
52,D,DataAnalysis
53,C,DataAnalysis
54,E,DataAnalysis
55,B,DataAnalysis
56,A,DataAnalysis
57,B,DataAnalysis
58,E,DataAnalysis
59,D,DataAnalysis
60,E,DataAnalysis
61,D,DataAnalysis
62,E,DataAnalysis
63,A,DataAnalysis
64,A,DataAnalysis
65,B,DataAnalysis
66,B,DataAnalysis
67,D,DataAnalysis
68,D,DataAnalysis
69,E,AdvancedMath
70,C,AdvancedMath
71,E,AdvancedMath
72,B,AdvancedMath
73,B,AdvancedMath
74,A,AdvancedMath
75,B,AdvancedMath
76,C,AdvancedMath
77,B,AdvancedMath
78,E,AdvancedMath
79,D,AdvancedMath
80,E,AdvancedMath
81,C,AdvancedMath
82,A,AdvancedMath
83,B,AdvancedMath
84,D,AdvancedMath
85,C,AdvancedMath
86,D,AdvancedMath
87,B,AdvancedMath
88,A,AdvancedMath
89,B,AdvancedMath
90,E,AdvancedMath
91,B,AdvancedMath
92,A,AdvancedMath
